"Manufacturer_Part_Number","Mouser Part Number"
"ADP150AUJZ-3.3-R7","584-ADP150AUJZ3.3R7"
"102010328","713-102010328"
"GJM1555C1H5R6WB01D","81-GJM1555C1H5R6WB1D"
"GRM188R61C225KAADJ","81-GRM188R61C225KADJ"
"GCM1885C1H181JA16D","81-GCM1885C1H181J16D"
"GRM1555C1H121JA01D","81-GRM1555C1H121JA01"
"GCM1885C1H112JA16D","81-GCM1885C1H112JA6D"
"GRM1885C1H101JA01D","81-GRM39C101J50"
"GCM21B5C2A333GE02L","81-GCM21B5C2A333GE2L"
"MCT0603MD7501BP500","594-MCT0603MD7501BP5"
"RC0603FR-07464RL","603-RC0603FR-07464RL"
"RC0603FR-072K94L","603-RC0603FR-072K94L"
"LQW15AN51NH0ZD","81-LQW15AN51NH0ZD"
"LQW15AWR18J80D ","81-LQW15AWR18J80D"
"TNPW060349R9FEEA","71-TNPW060349R9FEEA"
"SMA-J-P-H-ST-EM1","200-SMAJPHSTEM1"
"ADE-5+","139-ADE-5"
"TCCH-80+","139-TCCH-80"
"PSA-5454+","139-PSA-5454"
"LQW15AN30NG00D","81-LQW15AN30NG00D"
"LQW15AN27NG00D","81-LQW15AN27NG00D"
"LQW15AWR12G80D","81-LQW15AWR12G80D"
"MCT0603MC1501FP500","594-MCT0603MC1501FP5"
"MCT06030C1500FP500","594-MCT06030C1500FP5"
"MCT06030C3901FP500","594-MCT06030C3901FP5"
"MCT06030C1009FP500","594-MCT06030C1009FP5"
"ECS-TXO-2520MV-100-AY-TR","520-TXO2520MV100AYTR"
"","859-LTST-C190GKT"
"LQW15AW82NG80D","81-LQW15AW82NG80D"
"LQW15AN62NJ0ZD","81-LQW15AN62NJ0ZD"
"LQW15AN36NG80D","81-LQW15AN36NG80D"
"GRT21BR61E106KE13L","81-GRT21BR61E106KE3L"
"GRM0225C1E7R5BA03L","81-GRM0225C1E7R5BA3L"
"GJM0225C1E150GB01L","81-GJM0225C1E150GB1L"
"GJM0225C1C120JB01L","81-GJM0225C1C120JB1L"
"GJM0225C1E1R0CB01L","81-GJM0225C1E1R0CB1L"
"TNPW06035K10FHTA","71-TNPW06035K10FHTA"
"SS14","512-SS14"
"ADF4351BCPZ","584-ADF4351BCPZ"
"ADP7118AUJZ-5.0-R7","584-ADP7118AUJZ5.0R7"
"TNPW06031K00FHEA","71-TNPW06031K00FHEA"
"GRM1885C1H102JA01D","81-GRM39C102J50"
"GRM1555C1H100JA01D","81-GRM1555C1H100JA1D"
"TNPW060310K0FEEA","71-TNPW060310K0FEEA"
"GRM185R61A105KE26D","81-GRM185R61A105KE26"
"GRM155R71C104KA88D","81-GRM155R71C104KA88"
"GJM1555C1H160FB01J","81-GJM1555C1H160FB1J"
"GRM1885C1H152JA01J","81-GRM185C1H152JA01J"
"GJM1555C1H100FB01D","81-GJM1555C1H100FB01"
"GRM1885C1H103JA01D","81-GRM1885C1H103JA1D"
