pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
95.2,-55.6,-90.0,top,C1,,,C_0603_1608Metric,1nF,smt
89.605,-94.69,0.0,top,C10,,,C_0402_1005Metric,100nF,smt
72.425,-66.2,0.0,top,C10,,,C_0603_1608Metric,10pF,smt
89.605,-97.2,0.0,top,C11,,,C_0402_1005Metric,100nF,smt
72.425,-67.71,0.0,top,C11,,,C_0603_1608Metric,0.1uF,smt
89.605,-99.71,0.0,top,C12,,,C_0402_1005Metric,10nF,smt
72.4,-70.8,0.0,top,C12,,,C_0603_1608Metric,10pF,smt
93.615,-89.67,0.0,top,C13,,,C_0402_1005Metric,10nF,smt
72.4,-69.2,0.0,top,C13,,,C_0603_1608Metric,0.1uF,smt
78.4,-78.6,180.0,top,C14,,,C_0603_1608Metric,3.3nF,smt
81.4,-80.2,180.0,top,C15,,,C_0603_1608Metric,47nF,smt
80.0,-83.4,180.0,top,C16,,,C_0603_1608Metric,1.5nF,smt
67.4,-78.6,180.0,top,C17,,,C_0402_1005Metric,100nF,smt
93.615,-92.18,0.0,top,C18,,,C_0402_1005Metric,100nF,smt
93.615,-94.69,0.0,top,C19,,,C_0402_1005Metric,10nF,smt
95.2,-65.2,-90.0,top,C2,,,C_0603_1608Metric,1nF,smt
93.615,-97.2,0.0,top,C20,,,C_0402_1005Metric,100nF,smt
93.615,-99.71,0.0,top,C21,,,C_0402_1005Metric,10nF,smt
97.625,-89.67,0.0,top,C22,,,C_0402_1005Metric,100nF,smt
97.625,-92.18,0.0,top,C23,,,C_0402_1005Metric,10nF,smt
97.625,-94.69,0.0,top,C24,,,C_0402_1005Metric,100nF,smt
97.625,-97.2,0.0,top,C25,,,C_0402_1005Metric,10nF,smt
100.775,-56.41875,180.0,top,C3,,,C_0603_1608Metric,1uF,smt
106.375,-58.81875,180.0,top,C4,,,C_0603_1608Metric,1uF,smt
85.4,-72.025,90.0,top,C5,,,C_0603_1608Metric,5.6pF,smt
85.4,-79.8,90.0,top,C6,,,C_0603_1608Metric,5.6pF,smt
86.2,-74.4,0.0,top,C7,,,C_0603_1608Metric,120pF,smt
89.605,-89.67,0.0,top,C8,,,C_0402_1005Metric,100nF,smt
89.605,-92.18,0.0,top,C9,,,C_0402_1005Metric,10nF,smt
75.6,-94.8,180.0,top,IC1,STM32L422CBT6,,QFP50P900X900X160-48N,STM32L422CBT6,smt
95.8,-59.65,0.0,top,IC2,BGB 741L7ESD E6327,,BGB741L7ESDE6327,BGB_741L7ESD_E6327,smt
92.6,-71.8,90.0,top,IC3,ADE-5+,,ADE5,ADE-5+,smt
59.0,-123.0,180.0,top,J1,,,PinSocket_2x30_P2.00mm_Vertical,Conn_02x30_Row_Letter_First,tht
55.0,-123.0,180.0,top,J2,,,PinSocket_2x30_P2.00mm_Vertical,Conn_02x30_Row_Letter_First,tht
95.2,-51.4625,90.0,top,J3,,,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,Conn_Coaxial_Small,smt
95.2,-137.3375,-90.0,top,J4,,,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,Conn_Coaxial_Small,smt
97.6,-56.4,0.0,top,L1,,,L_0603_1608Metric,390nH,smt
96.0,-62.8,180.0,top,L2,,,L_0603_1608Metric,390nH,smt
83.8,-72.0,90.0,top,L3,,,L_0603_1608Metric,30nH,smt
83.0,-69.6,0.0,top,L4,,,L_0603_1608Metric,120nH,smt
85.4,-76.8,-90.0,top,L5,,,L_0603_1608Metric,30nH,smt
100.775,-58.01875,0.0,top,R1,,,R_0603_1608Metric,1k,smt
78.4,-80.2,180.0,top,R10,,,R_0603_1608Metric,330,smt
77.6,-82.6,-90.0,top,R11,,,R_0603_1608Metric,680,smt
71.6,-74.8,0.0,top,R12,,,R_0603_1608Metric,33,smt
103.175,-58.81875,-90.0,top,R2,,,R_0603_1608Metric,1k,smt
100.775,-59.61875,180.0,top,R3,,,R_0603_1608Metric,1k,smt
100.8,-62.4,0.0,top,R4,,,R_0603_1608Metric,10k,smt
103.8,-62.4,180.0,top,R5,,,R_0603_1608Metric,100k,smt
75.6,-67.6,-90.0,top,R6,,,R_0603_1608Metric,5.1k,smt
73.6,-86.425,90.0,top,R7,,,R_0603_1608Metric,1k,smt
75.2,-86.4,90.0,top,R8,,,R_0603_1608Metric,1k,smt
76.8,-86.425,90.0,top,R9,,,R_0603_1608Metric,1k,smt
105.575,-56.01875,-90.0,top,U1,,,SOT-23-3,XC6206P302,smt
76.4,-74.6,90.0,top,U2,,,LFCSP-32-1EP_5x5mm_P0.5mm_EP3.25x3.25mm,ADF4351,smt
67.4,-75.6,0.0,top,Y1,ECS-TXO-2520MV-120-AY-TR,,ECSTXO2520MV120AYTR,ECS-TXO-2520MV-120-AY-TR,smt
